,θ_wind (deg),U_hub (m/s),θ_wave_new (deg),Hs (m),Tp (s)
67200,228.2602745731116,8.943409924141552,88.41786193847699,0.723963677883,3.748431921005
95112,33.6213884098333,5.89040754947335,32.568717956543,2.701335191727,13.660105705261
242272,344.5110952958949,6.873666268770317,25.729042053223,0.82157689333,5.760110855103
231412,352.05945878293005,5.419941970452799,351.55712890625,1.385413527489,9.730457305908
247186,211.0043052268817,11.883676335966488,39.885665893555,3.117824792862,13.241850852966
146592,242.80182982411372,9.870486406206492,73.259857177734,1.018617272377,5.730415344238
30914,98.94642701527911,4.629064804149794,344.103897094727,1.081066012383,8.242139816284
90995,198.14912128695912,7.409629330211143,33.023056030273,1.505515813828,10.690654754639
105302,5.85762130951689,19.53677851490797,358.250907897949,6.971942424774,14.192015647888
168257,276.9425064475606,8.461147140428837,44.919174194336,2.162724971771,10.971746444702
226594,242.73059236452423,7.466835652200655,42.30294799804699,1.725664973259,11.529454231262
257236,115.5662769970097,5.475241112258384,354.632110595703,1.187745571136,8.732977867126
122910,304.7560876939209,5.880818158372563,4.244705200195,2.591929674149,10.364574432373
149155,52.921953722259744,19.63579015280808,321.86315155029297,4.994920730591,11.2223777771
94650,16.115522668884584,6.451798050591906,11.084609985352005,2.270434617996,12.436664581299
38400,28.15985321048583,7.82742639511474,3.2576675415040057,1.431518793106,7.611496448517
170556,321.80639382915365,6.699265489380129,25.76711273193401,1.133825421333,8.730639457703
232889,45.8657236397324,8.994800485473489,326.47095489502,1.664821982384,8.182280540466
51835,102.67470713185745,11.457488579083698,354.045066833496,3.11151266098,12.714345932007
110353,285.57528227328385,3.383238832792155,10.307083129882995,1.268334627151,10.282660484314
176003,259.2651078734192,9.04748337385945,32.704559326172,2.553005695343,12.349703788757
235363,27.02069357462378,12.340397760438664,352.401649475098,4.310970306396,12.604413032532
244759,30.196716459709545,24.73094945617197,334.082359313965,7.276520252228,11.88433265686
189086,48.56378212376353,8.734526497885447,340.59220886230503,1.094624638557,8.222099304199
